Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,1023.KL,1066.KL,1155.KL,1295.KL,2488.KL,1023.KL,1066.KL,1155.KL,1295.KL,2488.KL,1023.KL,1066.KL,1155.KL,1295.KL,2488.KL,1023.KL,1066.KL,1155.KL,1295.KL,2488.KL,1023.KL,1066.KL,1155.KL,1295.KL,2488.KL
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,3.1772091388702393,3.7791128158569336,5.804393768310547,3.2145748138427734,2.2645769119262695,3.2143258538583908,3.8065972464883084,5.894760987971254,3.233373254519715,2.2645769119262695,3.0807050427467586,3.731014898431898,5.790490711172437,3.2020421465618774,2.1952530127243537,3.1772091388702393,3.7516283852255583,5.887810122336451,3.230240367821692,2.2491716418025787,4899600,1409600,4278900,7818000,1249000
2021-01-05,3.1920559406280518,3.7653701305389404,5.7765889167785645,3.2302401065826416,2.241469144821167,3.1920559406280518,3.7859836147595773,5.811345237364245,3.2365062529681934,2.241469144821167,3.132668558656112,3.7172722191175986,5.70707494973856,3.195775741217748,2.218361238212122,3.1549388711424156,3.7791123441392926,5.797442841716837,3.217707440315299,2.2260638737484704,9084800,3845900,5386900,12748000,741200
2021-01-06,3.0881283283233643,3.7653701305389404,5.727928161621094,3.1863760948181152,2.195253372192383,3.1846324270771227,3.7928545577396453,5.804393648432961,3.2396392688228612,2.2260641011302615,3.051011612323574,3.7104012761375307,5.700122710853389,3.1738438029912395,2.187550735869247,3.1846324270771227,3.7928545577396453,5.776588197665256,3.2396392688228612,2.2260641011302615,14235600,5125600,4014500,18564000,1426700
2021-01-07,3.073281764984131,3.7241437435150146,5.755733966827393,3.1957755088806152,2.1875505447387695,3.0881285231154694,3.744756901500093,5.755733966827393,3.1957755088806152,2.1875505447387695,2.9396609418020856,3.662303614279302,5.588901251947591,3.111181418337051,2.0951189169370688,3.0881285231154694,3.7310146869632947,5.700123061867458,3.1832432170206255,2.1644426377883446,30991500,6998800,13503300,29601000,4831800
2021-01-08,3.051011800765991,3.7172725200653076,5.8391499519348145,3.1863760948181152,2.164442539215088,3.065858558877824,3.779112650093534,5.8391499519348145,3.2271066034997755,2.1875504451131307,2.969354454163595,3.6760458759265706,5.630609403099757,3.15817825145954,2.1182267274190028,3.05843500283459,3.724143791241885,5.7279281491069876,3.1957755004363766,2.1721451745144353,21430800,4572100,9074600,37053000,2943600
2021-01-11,2.9990477561950684,3.7172725200653076,5.693170547485352,3.1769773960113525,2.087416410446167,3.0213180687595877,3.7447569494911317,5.755732970468844,3.186376429119512,2.1413348633333724,2.947084106514902,3.6829171471031485,5.637559652152062,3.161311469339839,2.079713774319423,2.9990477561950684,3.7104015765289726,5.755732970468844,3.180110282548656,2.125929591079885,15775000,5972600,11171200,24891500,3246100
2021-01-12,2.9099667072296143,3.6623034477233887,5.561095714569092,3.1456456184387207,1.979579210281372,2.9842004795620944,3.7104013602348838,5.6723175227909906,3.186376127538638,2.0797136579724755,2.83573275790986,3.5454944656527747,5.5471929885413545,3.0829835984165586,1.9641739388897133,2.9545069706291027,3.6966591463230603,5.665365994043555,3.164444429868287,2.0643083865808167,29704600,4314600,11813300,31240500,4774200
2021-01-13,3.021318197250366,3.758498430252075,5.769636154174805,3.352431058883667,2.0334975719451904,3.021318197250366,3.779111912116206,5.797441602460271,3.3680966088716024,2.079713379941712,2.895120579958575,3.6554320038519585,5.547192236423983,3.1989084449041996,1.987281580303373,2.895120579958575,3.6554320038519585,5.554143432761805,3.2020413308040827,1.987281580303373,26865200,8304900,10369600,49179000,3535700
2021-01-14,3.073281764984131,3.7516286373138428,5.804393768310547,3.399428367614746,2.087416410446167,3.117822039378146,3.806597502270191,5.873907065198341,3.4464250266859238,2.095119046572911,3.0287414905901158,3.7378864210747555,5.7348798084885,3.352431708543568,2.0412005936857054,3.0361650466431027,3.7584995816132465,5.769636788399524,3.3743634080775355,2.0412005936857054,20754200,9239800,6579300,29711000,2571100
2021-01-15,3.0435879230499268,3.7241437435150146,5.734879970550537,3.3210997581481934,2.087416410446167,3.0732814361353236,3.7653703871254103,5.797442403571481,3.418226322523593,2.087416410446167,3.0138944099645304,3.6966593144414177,5.720976913019541,3.3210997581481934,2.0412005936857054,3.0732814361353236,3.7584991160368917,5.797442403571481,3.415093436460763,2.079713774319423,12083800,4717900,4000100,27416000,1519400
2021-01-18,2.9693543910980225,3.689788579940796,5.616706848144531,3.2866358757019043,2.048903465270996,3.0213182203731037,3.7241442850990936,5.727928660910277,3.321099864473562,2.056606102282921,2.9545076333015174,3.682917635493308,5.616706848144531,3.277236470220105,2.002687459554092,3.0138946644875375,3.7104020685638317,5.727928660910277,3.3085675728286326,2.056606102282921,13575300,2680000,4324100,19029500,2928000
2021-01-19,2.9693543910980225,3.66878342628479,5.630609512329102,3.2741036415100098,2.0334975719451904,2.9990479066910325,3.766804602180204,5.7348797887693905,3.3336329683993977,2.056605475943451,2.9545076333015174,3.6687834262847905,5.616706455238797,3.2741036415100098,2.0257949372791035,2.9693543910980225,3.6897880593644694,5.630609512329102,3.2835030482289924,2.0412002066112773,11771500,4529300,5366400,22170000,2026700
2021-01-20,2.9990477561950684,3.703791618347168,5.623657703399658,3.3398993015289307,2.0797135829925537,3.043588027349497,3.7247962547248776,5.734879502839804,3.4119609257363326,2.08741621841068,2.95450748504064,3.654781022704091,5.623657703399658,3.2866364918091198,2.018092316002229,2.969354242092116,3.6687840023367744,5.630609231598221,3.2897693785595354,2.033497770483796,24341900,6089900,7817100,43513500,1998600
2021-01-21,2.9693543910980225,3.745800018310547,5.595852851867676,3.3774960041046143,2.0797135829925537,3.0287414222840425,3.7668046516661717,5.672317681425107,3.4088274809536627,2.08741621841068,2.9545076333015174,3.7037910854566176,5.595852851867676,3.3461649007517784,2.0257951350656698,3.0138946644875375,3.7107927411942665,5.6375606996501695,3.368096971895734,2.08741621841068,11380600,5676000,4667700,31750500,836200
2021-01-22,2.95450758934021,3.7387986183166504,5.561095714569092,3.3931615352630615,2.0412001609802246,2.9767779026909125,3.7457999400507016,5.658415128230388,3.437025303789521,2.0720106989558023,2.947084210552413,3.6967896863404013,5.561095714569092,3.3680969515293255,2.0412001609802246,2.969354346915804,3.7177939853998687,5.6028042241194385,3.3680969515293255,2.0720106989558023,9614700,3403500,6342400,35937500,583200
2021-01-25,2.8505797386169434,3.6617822647094727,5.47767972946167,3.336766481399536,1.95647132396698,2.9173903160059727,3.7387988108948926,5.574999149715401,3.4150942541679163,2.0257952296108215,2.8357329829721123,3.661782264709473,5.47767972946167,3.317967666536612,1.9487686881893667,2.9173903160059727,3.7387988108948926,5.561096091278733,3.4056948467364543,2.018092410187885,16352700,3566500,9196100,223687500,2531000
